url	first_seen	ats	company	sector	title	location	unclear
https://job-boards.greenhouse.io/doordashusa/jobs/7943528	2026-05-25	greenhouse	DoorDash	e-commerce	Manager, Local Markets Growth 	Dallas, TX; Austin, TX; Houston, TX; Atlanta, GA; Charlotte, NC; Nashville, TN; Los Angeles, CA; San Francisco, CA	0
https://job-boards.greenhouse.io/doordashusa/jobs/7913604	2026-05-25	greenhouse	DoorDash	e-commerce	Senior Associate, Dasher & Logistics Strategy & Operations	New York, NY; San Francisco, CA; Los Angeles, CA; Chicago, IL; Seattle, WA; Austin, TX; Washington D.C.; Remote - United States	0
https://job-boards.greenhouse.io/doordashusa/jobs/7579976	2026-05-25	greenhouse	DoorDash	e-commerce	Senior Associate, Marketplace - Restaurant Growth Strategy & Operations	New York, NY; San Francisco, CA	0
https://job-boards.greenhouse.io/doordashusa/jobs/7939750	2026-05-25	greenhouse	DoorDash	e-commerce	Senior Associate, Product Growth - Strategy and Operations	New York, NY	0
https://job-boards.greenhouse.io/doordashusa/jobs/7604521	2026-05-25	greenhouse	DoorDash	e-commerce	Senior Manager, Consumer Discovery - Strategy & Operations	San Francisco, CA; New York, NY; Seattle, WA	0
https://job-boards.greenhouse.io/doordashusa/jobs/7913630	2026-05-25	greenhouse	DoorDash	e-commerce	Senior Specialist S&O, Integrations Strategy & Operations	New York, NY; Atlanta, GA; San Francisco, CA; Phoenix, AZ; Seattle, WA	0
https://jobs.ashbyhq.com/whatnot/05a54d4a-2cea-4820-a885-57a1623f4a26	2026-05-25	ashby	Whatnot	e-commerce	Strategy & Operations Senior Manager, Logistics	Los Angeles, CA	0
https://jobs.ashbyhq.com/whatnot/6c1b99c7-06d9-497e-9861-91a72bcd5f25	2026-05-25	ashby	Whatnot	e-commerce	Product Manager, International Growth	New York, NY	0
https://jobs.ashbyhq.com/whatnot/70265f28-2b77-4fbc-ba27-fa1590a8013b	2026-05-25	ashby	Whatnot	e-commerce	Business Operations Manager/Sr Manager - German or French Speaking	New York, NY	0
https://jobs.ashbyhq.com/whatnot/300adeb9-5c0f-4c49-bcdb-60f1c9867a73	2026-05-25	ashby	Whatnot	e-commerce	Strategy and Operations Manager, Revenue Operations	New York, NY	0
https://jobs.ashbyhq.com/whatnot/34379814-57e6-4e3c-8cb9-08b2c47a0630	2026-05-25	ashby	Whatnot	e-commerce	Product Manager, Payments	San Francisco, CA	0
https://jobs.ashbyhq.com/whatnot/523e7d60-f429-4299-b716-3e1d9847a675	2026-05-25	ashby	Whatnot	e-commerce	Revenue Operations Manager, Compensation 	New York, NY	0
